864318 -92712 57983 -490966 0 0 0
866088 -94360 65063 -486572 0 0 0
873840 -110473 62316 -469299 0 0 0
873413 -120483 70251 -466613 0 0 0
875610 -125671 86547 -458251 0 0 0
880249 -123046 88073 -449707 0 0 0
885070 -110717 74951 -445800 0 0 0
888610 -117980 66345 -438293 0 0 0
892395 -117919 64208 -430847 0 0 0
899047 -116638 58227 -418029 0 0 0
903015 -112304 53283 -411254 0 0 0
913818 -105041 43212 -389892 0 0 0
918762 -90759 46508 -381408 0 0 0
924255 -93200 38574 -368225 0 0 0
928772 -92895 32775 -357238 0 0 0
932800 -95764 30883 -346008 0 0 0
937744 -92651 32104 -333190 0 0 0
942138 -90698 37109 -320617 0 0 0
945495 -87341 44250 -310607 0 0 0
945800 -83129 58410 -308532 0 0 0
947082 -83251 64636 -303283 0 0 0
945373 -90881 66406 -305969 0 0 0
939880 -106567 72631 -316223 0 0 0
933166 -117919 73913 -331481 0 0 0
923034 -139465 76599 -350219 0 0 0
914001 -144104 72082 -372375 0 0 0
899475 -151428 66345 -404479 0 0 0
885681 -152038 66101 -433715 0 0 0
873168 -152709 65063 -458251 0 0 0
865112 -150024 64880 -474182 0 0 0
857238 -148071 67321 -488525 0 0 0
849609 -147766 67993 -501709 0 0 0
844177 -144714 70068 -511413 0 0 0
838439 -146362 70678 -520202 0 0 0
834045 -144653 75439 -527038 0 0 0
831543 -141845 77514 -531433 0 0 0
829040 -140625 80688 -535217 0 0 0
826293 -138549 83068 -539611 0 0 0
823730 -130371 84228 -543396 0 0 0
820312 -136901 85693 -548584 0 0 0
817504 -134826 86303 -553283 0 0 0
811523 -131042 87890 -562561 0 0 0
805786 -128173 91735 -570861 0 0 0
795410 -132568 92468 -584106 0 0 0
789917 -134704 86608 -591918 0 0 0
784301 -125000 86547 -601440 0 0 0
779724 -126892 81176 -607727 0 0 0
772644 -124877 77331 -617614 0 0 0
766418 -117309 71044 -627563 0 0 0
764221 -107238 60485 -633117 0 0 0
755432 -99609 54321 -645324 0 0 0
752502 -78735 43884 -652404 0 0 0
747192 -68908 38757 -659851 0 0 0
745178 -70129 32104 -662414 0 0 0
738464 -65612 33386 -670288 0 0 0
739196 -70434 28930 -669189 0 0 0
743042 -68359 22033 -665405 0 0 0
739074 -66894 28686 -669677 0 0 0
737731 -72326 27221 -670654 0 0 0
734252 -64575 36621 -674804 0 0 0
732971 -66528 33142 -676208 0 0 0
735900 -71105 29663 -672729 0 0 0
730896 -69091 32897 -678222 0 0 0
729553 -72204 28381 -679504 0 0 0
725280 -69702 25634 -684448 0 0 0
-1281860 -71533 18798 -691955 0 0 0
711303 -68481 8544 -699462 0 0 0
